(alpha=0.10 x ell=0.10),(alpha=0.10 x ell=1.00),(alpha=0.10 x ell=10.00),(alpha=0.20 x ell=0.10),(alpha=0.20 x ell=1.00),(alpha=0.20 x ell=10.00),(alpha=0.30 x ell=0.10),(alpha=0.30 x ell=1.00),(alpha=0.30 x ell=10.00),(alpha=0.40 x ell=0.10),(alpha=0.40 x ell=1.00),(alpha=0.40 x ell=10.00),(alpha=0.50 x ell=0.10),(alpha=0.50 x ell=1.00),(alpha=0.50 x ell=10.00),(alpha=0.60 x ell=0.10),(alpha=0.60 x ell=1.00),(alpha=0.60 x ell=10.00),(alpha=0.70 x ell=0.10),(alpha=0.70 x ell=1.00),(alpha=0.70 x ell=10.00),(alpha=0.80 x ell=0.10),(alpha=0.80 x ell=1.00),(alpha=0.80 x ell=10.00),(alpha=0.90 x ell=0.10),(alpha=0.90 x ell=1.00),(alpha=0.90 x ell=10.00),(alpha=1.00 x ell=0.10),(alpha=1.00 x ell=1.00),(alpha=1.00 x ell=10.00),(alpha=1.10 x ell=0.10),(alpha=1.10 x ell=1.00),(alpha=1.10 x ell=10.00),(alpha=1.20 x ell=0.10),(alpha=1.20 x ell=1.00),(alpha=1.20 x ell=10.00),(alpha=1.30 x ell=0.10),(alpha=1.30 x ell=1.00),(alpha=1.30 x ell=10.00),(alpha=1.40 x ell=0.10),(alpha=1.40 x ell=1.00),(alpha=1.40 x ell=10.00),(alpha=1.50 x ell=0.10),(alpha=1.50 x ell=1.00),(alpha=1.50 x ell=10.00),(alpha=1.60 x ell=0.10),(alpha=1.60 x ell=1.00),(alpha=1.60 x ell=10.00),(alpha=1.70 x ell=0.10),(alpha=1.70 x ell=1.00),(alpha=1.70 x ell=10.00),(alpha=1.80 x ell=0.10),(alpha=1.80 x ell=1.00),(alpha=1.80 x ell=10.00),(alpha=1.90 x ell=0.10),(alpha=1.90 x ell=1.00),(alpha=1.90 x ell=10.00),(alpha=2.00 x ell=0.10),(alpha=2.00 x ell=1.00),(alpha=2.00 x ell=10.00)
2519866.115091,13781830937952.552734,21294.350869,23105.702807,270749.698753,453.890484,0.142133,0.000719,0.286169,0.379474,5.480772,34.435358,0.325245,24.320854,1.655014,1.544113,17.576879,4.406177,0.060053,0.936123,32.340746,0.080034,1.858716,2.201160,0.027750,0.094093,24.206402,0.073306,0.134036,16.061638,0.033851,0.476793,33.123937,0.024508,0.154162,20.023350,0.092354,4.209368,13.605651,0.169963,1.646775,17.297403,0.223390,10.245865,20.018135,0.015014,0.759950,2.424318,0.056045,0.445904,17.902600,0.155933,0.996781,10.232658,0.296884,0.645722,16.163675,0.007610,1.633495,8.459283 
0.000000,0.069564,0.326586,40.742050,1010293888.193873,2.208316,4.730492,7.448785,13.531917,0.022617,0.034860,52.603952,47.712169,0.615434,2.889324,0.209198,0.448935,6.198312,0.597403,0.240286,4.091477,0.164652,0.091573,3.243402,0.272522,1.369820,56.627932,0.040347,5.179603,14.396872,0.121417,1.531323,16.145203,0.042336,0.324107,17.731495,0.086490,1.304177,83.754158,0.037935,1.183303,3.221117,0.012804,1.772884,2.165676,0.133336,4.212357,5.440429,0.487576,1.945083,8.920924,0.040240,0.575900,20.702612,0.323948,0.414782,5.926467,0.369319,0.348194,17.133192 
130397.836176,0.539269,1.465258,340319.771709,1.407387,0.248523,0.010628,2279.518736,0.461919,0.141402,0.976651,113.760256,0.006210,0.048782,138.713292,0.040399,0.081338,80.343691,0.018724,3.744178,10.367367,0.516456,0.497237,2.414747,0.018527,1.376472,7.783666,0.105178,1.804810,26.753657,0.556082,3.407314,0.555821,0.015229,0.196120,9.420382,0.117877,3.137932,19.052065,0.099770,0.116704,30.682751,0.097663,3.568893,2.752536,0.090212,0.334572,7.157686,0.001561,0.125054,9.809482,0.024891,0.128933,31.207474,0.002111,0.076768,13.659166,0.080077,0.131777,21.305909 
494.763865,0.009648,837021597652.671143,2754.147066,2.709551,0.018532,0.013109,64.423268,6444.216303,0.920956,0.300827,0.174168,0.019599,0.213978,62.575657,0.099227,7.285600,161.614173,0.019902,7.875305,6.696127,0.023675,3.424694,28.540507,1.450711,0.598066,13.368004,0.102705,0.599349,9.684154,0.148534,0.182587,4.313237,0.128919,0.760315,10.303603,0.284355,0.257062,9.539743,0.101142,0.609421,26.881308,0.012791,0.931853,0.259082,0.269222,0.369720,170.331031,0.219223,0.483726,11.103404,0.218311,0.036202,4.159520,0.017957,1.606406,13.952773,0.137166,2.023797,20.114070 
0.190186,0.006802,0.000015,0.209886,0.214028,0.000316,0.000192,0.243021,0.947144,0.029281,385.316229,1.406509,1.374760,2.254315,16.927299,0.170830,1.196298,29.979781,0.063835,13.362337,4.978150,0.068609,0.133879,2.140317,0.036116,0.074424,0.164595,0.026004,1.043316,3.642631,0.264778,0.349791,18.790782,0.087366,3.211478,13.484516,0.001639,0.422984,17.511117,0.066681,45.089671,5.776775,0.088360,1.403660,11.951807,0.029756,1.301914,13.787863,0.101001,2.767283,2.146118,0.264211,0.576703,3.567717,0.054650,0.747882,5.394911,0.049002,0.703350,6.004165 
0.037684,0.000003,0.000000,2.892724,7.970522,1.287560,0.001787,0.286375,0.673628,0.248999,27.604965,1.448829,0.018597,0.794978,1.537105,0.015113,9.441211,4.405003,0.178288,2.704779,10.058475,0.097987,5.213877,3.701509,0.004837,0.282130,25.537292,0.012084,7.911534,4.334351,0.013618,0.245976,1.723609,0.205341,0.038303,67.667164,0.042324,2.486103,72.529093,0.048341,3.688270,14.516329,4.359992,0.720617,6.215990,0.103229,0.190046,17.228741,0.087905,3.102303,0.094377,0.116168,1.793506,4.227624,0.167842,0.338748,12.371596,0.138960,0.616365,10.047984 
18.145207,4.848423,14977877.205986,0.009119,856058.649831,0.455356,0.018495,0.068585,138.104937,0.574486,1822.917642,60.070292,0.009882,91.391062,4.183879,0.010522,0.106643,14.914463,0.032957,0.169587,23.684755,0.450320,5.187730,6.351088,0.040007,1.811048,1.298382,0.115776,3.097075,24.762681,0.013164,0.069213,7.315253,4.775619,12.192407,5.731170,0.002542,1.607432,9.591655,0.370272,1.135823,8.900636,0.066724,0.198814,2.259928,0.034173,1.800618,2.631948,0.116302,1.221032,1.744049,0.169635,0.545924,47.741868,0.025843,0.248720,5.452279,0.174155,0.447821,7.312225 
15.775727,31.863897,27.086181,0.063911,4.173389,482.126009,1.362363,0.056069,498.197865,614.551971,69.019811,22.070843,0.064607,66.824239,0.470929,0.084734,0.169100,21.579242,0.119938,10.549511,27.864913,0.328572,0.245724,10.494163,0.019347,1.154509,1.680074,0.205997,1.810461,9.327760,0.074411,0.532251,6.234192,0.033918,0.990107,31.977561,0.075057,1.023724,8.448570,0.024558,1.262377,9.388967,0.129745,1.271966,73.486204,0.187387,4.080773,5.088962,0.190649,0.098650,10.830283,0.067068,0.965424,2.532107,0.023697,0.408920,6.078705,0.012795,0.730216,14.526288 
0.010739,0.005347,126673.663125,0.026328,78.127380,189141.740428,3.036219,3.892185,2403.736468,0.007191,1.539876,64.488590,0.570313,4.631340,115.528096,0.006216,0.174579,7.125246,0.203788,0.285279,0.205675,0.064548,12.800997,4.076547,0.156918,4.141439,62.732410,0.219812,0.171596,301.983709,0.049511,1.654443,47.522080,0.068000,0.933439,8.535015,0.009781,0.209242,19.876629,0.075539,0.559001,129.429122,0.236838,0.207716,7.447259,0.003138,0.727213,56.179317,0.055292,0.513507,0.749556,0.222162,1.163397,3.230539,0.068909,1.622702,5.371582,0.005835,0.048612,0.980757 
0.279551,0.013638,0.011154,0.772524,9.390952,1552071.682516,0.059099,0.184885,64.031343,0.012340,1.560685,1.100748,5602.267160,2.325120,0.101457,0.492985,1.911785,1.166452,0.207047,0.556378,42.095413,0.002399,0.438148,3.572246,0.235147,0.224656,38.090681,0.235112,2.372380,7.819377,6.503643,0.137610,22.825314,0.067833,0.214978,22.418054,0.135710,0.880640,2.266303,0.169476,1.591675,37.167453,0.061749,0.210555,0.801350,0.125784,1.657556,19.069489,0.082769,0.341016,2.378800,0.099283,0.624295,1.331196,0.156924,0.032774,6.050939,0.011707,0.433093,11.721516 
0.000252,6897.814059,137.746216,0.000005,5.738955,0.901168,0.004964,83.746703,16.327418,1.275926,1.067132,0.790611,0.048693,0.292576,72.335069,2.418881,0.588625,2.355634,0.244387,26.441762,11.476175,4.788305,0.666632,12.196520,0.066975,0.005960,1.176845,3.441424,0.481015,8.431880,0.427443,0.661987,40.311906,0.196706,3.495031,12.474796,0.753798,2.533778,223.752902,0.423942,1.499547,4.820785,0.010517,1.132827,12.326697,0.152158,1.788030,4.864656,0.020281,1.868560,1.694549,0.120566,0.081197,10.073135,0.088815,2.853757,23.076675,0.192600,0.851297,4.482014 
524.164907,0.074925,21699212170415.566406,0.277874,0.029738,8.225373,0.523566,4.652866,35.446989,2.044670,303.919205,8.559141,0.003898,0.371767,116.306833,0.285234,3.418335,34.326855,0.065936,0.686494,2.396485,0.173276,1.613220,2.970356,0.054010,2.063569,0.430333,0.086028,1.042806,2.747716,0.005681,3.747803,93.571284,0.647574,5.498593,15.075475,0.379380,1.119961,10.234878,0.046279,0.843761,161.328314,0.035099,0.911752,5.495650,0.273364,1.298859,15.161959,0.292078,1.973023,10.824050,0.018478,2.090881,18.710393,0.035299,0.291748,17.139732,0.006626,2.656778,4.775327 
11662.449000,944.353612,22341.567399,1.625979,349147.067226,0.004228,0.503118,199.637131,0.810435,1.262057,4299.017445,3.569705,0.145048,479.425000,0.513082,0.139808,1.261669,4.070413,1.595221,0.829435,16.297686,0.014821,0.654986,9.145469,0.189294,1.091895,7.696242,0.031835,0.692319,0.064047,0.067168,4.542716,26.727357,0.139624,0.767737,0.672070,0.112555,1.674870,3.678693,0.058461,0.526994,10.407629,0.045738,0.211052,12.240427,0.092033,0.081102,15.288827,0.277024,0.878091,16.058883,0.098643,1.916855,18.602601,0.233483,0.216769,12.766355,0.260712,0.218970,19.431823 
1008200144.785677,1.788482,3958082670172.223633,11196008.815431,118.841849,0.100378,66.614593,0.795505,1.333197,0.000087,21.448081,28.295320,0.005701,1.648008,320.135327,0.016347,7.025267,2.555847,0.003125,0.267391,211.192921,0.085857,0.138044,25.387333,0.042732,79.664256,12.769185,0.215533,1.644023,4.155300,0.596979,1.320638,3.221872,0.004967,0.430699,4.741595,0.194904,1.025409,4.068306,0.206107,0.470733,2.563400,0.061269,8.322208,15.503077,0.091294,0.241992,4.920085,0.161417,0.753047,5.566908,0.170851,1.176831,12.168596,0.171342,0.387281,11.396041,0.164829,1.499996,13.424361 
243320071.370720,0.008830,26.284777,0.341129,3.611092,3.293549,0.209916,17969.644807,5.652328,366936.431599,64.558424,3.801472,19.449860,0.006681,12.231064,0.063484,0.048861,151.896310,0.959276,53.591710,17.112760,0.410791,0.157854,11.735312,0.213739,9.310432,24.022122,0.534621,3.237185,26.210896,0.028346,2.553134,64.590312,0.002176,1.683391,7.879135,0.145393,2.871603,0.177430,0.156174,0.686624,0.242870,0.072375,0.068337,7.806426,0.913934,0.373376,1.569716,0.018207,0.353113,3.355934,0.289002,0.816963,8.299504,0.221095,1.942248,10.150235,0.231588,1.095551,6.271557 
29.653809,7505.051378,33392578580170.492188,0.000362,0.371731,72.870190,0.148333,0.204839,61.063418,219.121405,0.143787,2058.208632,0.002213,0.267231,216.726015,0.109006,4.125220,20.105069,0.064222,7.174902,0.220981,0.458767,47.457664,1.011731,0.001088,12.922538,46.576051,0.692870,2.351244,7.915233,0.021648,0.037156,8.644833,0.161283,12.394345,111.362096,0.093665,0.060163,1.399055,0.107765,0.097295,24.098583,0.205405,0.519276,4.847698,0.156216,0.951234,26.840539,0.155817,1.130868,16.511618,0.303027,0.743419,11.077929,0.203565,0.152407,1.686968,0.064284,1.800088,10.337711 
2.415574,0.012638,4340.883383,0.014265,0.000042,142.634537,0.000581,0.433541,146.847276,0.046663,0.025738,13.715177,0.585607,0.031503,3.438060,0.012677,62.960251,24.103084,1.314240,15.111304,8.808904,0.003318,1.525645,540.208901,0.722778,1.444468,1.615355,0.032894,8.942348,26.593458,0.032579,0.269116,119.001489,0.188946,3.100183,21.523510,0.162381,0.445549,4.896787,0.058176,3.028449,6.745004,0.116048,0.597850,15.073967,0.068284,0.229664,5.974331,0.370805,0.586419,70.314382,0.107613,1.000034,1.507470,0.169356,2.315086,2.467241,0.007770,2.273741,18.703519 
0.895898,719267195.904504,0.000001,17917.909034,4.513009,38896.793057,0.001882,0.583469,1550.009771,0.004675,2.859575,14.939509,0.008120,64.648285,8.514874,0.938317,0.189819,0.923087,0.001103,0.010538,10.750607,0.151685,5.473375,6.429570,0.020213,1.627543,0.013289,0.022761,2.824181,1.829637,0.259737,2.068211,35.641553,0.135653,0.950473,0.017389,0.054990,1.149394,39.309133,0.038026,4.883962,4.199132,0.153589,2.431096,14.988050,0.027575,3.817299,50.305211,0.189487,0.936651,4.116515,0.168882,1.596314,20.026610,0.060969,1.557222,1.643926,0.010588,1.192372,15.551107 
0.130282,8129.537335,0.000830,25223.360548,6.920727,11989.458434,84.061253,0.195400,1917.654952,18.771239,0.059799,6.518154,2.988628,7.463858,18.238755,0.047854,0.002469,0.454990,0.044534,0.178093,61.674715,0.235954,0.302320,2.694066,0.126536,0.687436,52.917828,0.203096,0.453031,15.371707,0.028465,0.174463,12.261416,0.099837,0.681161,9.120392,0.047146,2.395139,2.210741,0.144522,0.411726,36.857999,0.059002,0.098422,4.277876,0.055547,0.626251,4.090784,0.220706,3.424349,11.021425,0.016606,1.597159,10.960542,0.066756,0.606739,11.330765,0.075472,3.350527,9.234758 
0.000005,0.009705,0.000875,1.338245,1.747107,168.176841,0.823791,0.087248,227.552509,0.103878,0.902164,11.429613,0.006013,1.216367,17.945369,0.041602,34.248553,18.150354,0.394379,0.245731,26.663091,0.052415,1.285141,291.655166,0.227541,0.038986,3.150923,0.428381,1.820158,2.876579,0.210301,0.189090,1.155363,0.094033,0.010249,1.699547,0.038120,3.267447,66.867265,0.074427,0.162694,4.527294,0.070954,2.570044,2.416335,0.040825,0.115228,2.523073,0.174363,1.141957,7.950816,0.130735,0.626922,13.361257,0.188204,1.164627,34.690750,0.233762,0.147235,3.107979 
0.000462,0.002053,92.753217,748.149756,39.692320,500.036647,34.129477,0.597250,0.381130,0.037265,152.762068,0.925871,0.047108,0.208874,32.029580,0.005417,4.034397,1264.039397,0.140745,1.282918,2.884860,0.109767,0.150066,141.064019,12.806403,0.819577,8.087537,0.119564,6.350839,36.706594,0.504684,0.806618,10.724839,0.010976,0.991641,127.008318,0.526699,1.554045,26.841361,0.064066,1.259128,119.822643,0.104978,0.459415,9.539000,0.088420,2.430512,11.489550,0.807322,2.094638,12.487807,0.199638,1.334764,2.633132,0.042864,1.049660,8.403664,0.111215,0.181695,17.199231 
90956.635139,0.004777,21.561766,0.002734,41.724995,0.729586,0.008967,0.048757,8.362692,0.007312,3337.917835,10.323326,0.080178,215.949627,18.724922,0.083956,6.781651,14.751892,9.728932,3.270083,2.051079,0.801428,0.491866,6.357921,0.046926,1.454566,277.841162,0.006796,1.095790,14.346025,0.081587,0.383377,26.510993,0.007280,0.032718,4.294667,0.022457,1.477400,43.012499,0.046372,0.375400,5.617846,0.140884,0.316529,1.256233,0.219014,1.817890,102.334862,0.105130,0.124481,0.902418,0.088362,1.688348,2.418207,0.054326,0.723707,10.581337,0.063986,0.271422,28.118850 
23.513171,295637340286.534668,80094.978998,5.766554,0.027041,6.772022,0.613700,0.378812,178.504871,0.071498,2.486418,4286.088351,0.013818,0.284606,0.108036,0.160760,2.339474,316.744389,0.013488,0.822169,179.788807,0.084899,3.078294,52.095876,0.093976,0.785560,881.078114,0.125172,1.276712,24.445166,0.109244,2.245223,6.317942,0.327382,1.897165,5.657087,0.385030,0.449472,18.022877,1.342783,0.490041,37.061296,0.062441,4.701877,3.527102,0.085781,6.425330,16.257609,0.060504,1.844060,16.328056,0.004210,0.447751,0.542877,0.153917,0.219906,18.061499,0.061002,1.064928,1.652606 
270.621187,1752048.309293,0.332405,82.271829,541.218891,324172.335311,0.027720,40.343381,22.056249,0.013296,7.687105,1.926451,0.003717,1.340565,5.017530,0.043174,1.311834,10.527633,0.127383,0.137996,25.966436,0.120984,92.431572,2.404165,68.011925,2.509176,14.416805,0.042194,0.956229,22.459768,0.435298,1.697644,15.370913,0.168517,4.269756,28.169569,0.044653,0.152382,4.241686,0.144690,0.937607,17.667429,0.204241,1.356835,15.208131,0.155471,0.862583,3.570199,0.127982,1.288033,5.132436,0.084815,0.492622,2.723971,0.233116,2.528211,1.647783,0.023052,2.284261,4.620309 
0.000243,925507.885564,710538.705284,0.000592,1.515275,638386644422.975464,0.000413,0.013476,0.967139,0.618718,0.372307,7.392319,0.055581,17.595366,8.100734,0.610671,0.269096,17.232448,0.304017,0.935753,1.694112,1.057734,1.004380,16.791190,0.033082,0.050987,1.341563,0.138972,0.572804,56.980919,0.120867,0.328327,42.603266,0.276392,1.405618,5.026330,0.067355,1.125516,23.443254,0.338903,0.151355,18.225157,0.005320,1.489639,17.828123,0.047012,0.467484,0.008736,0.083021,0.900617,28.369134,0.178786,2.158342,12.095477,0.013854,0.151303,4.976591,0.058704,1.642288,9.000487 
0.000001,0.000275,743.089695,19.406202,0.016182,43.544680,0.429242,0.089243,6690.722325,0.031010,2.568921,104.790646,0.308376,0.050864,65.006706,0.774063,1.224622,11.077836,0.039373,0.500222,25.549237,0.011509,3.266108,36.478772,0.100457,0.014563,41.231311,0.045953,1.055541,161.191088,0.246285,0.950073,0.848485,0.010155,0.568657,12.766173,0.027528,1.229803,0.099320,0.185256,0.166989,8.862143,0.116786,1.151348,18.291470,0.032173,0.351087,1.461164,0.113725,0.926156,5.010121,0.038105,0.659732,6.086012,0.161839,1.047212,0.032981,0.112419,0.338350,6.971307 
0.000040,0.204160,0.007714,1.626832,157.225887,0.236522,2.704811,0.145626,0.464129,3.504148,0.146345,3.113951,0.052624,0.615927,89.828539,1.124422,4.783658,7.401248,0.061273,4.054216,35.093173,3.998947,1.219760,20.308942,0.081698,1.487953,1.276909,0.303226,2.819342,12.678997,0.001788,0.349272,11.924447,0.014213,2.428861,26.244513,0.095021,0.700306,5.927157,0.048017,0.775901,4.208826,0.116300,0.686143,16.992916,0.121098,4.309628,1.006155,0.151708,0.246265,40.842634,0.085341,2.311838,4.222459,0.053454,0.546248,10.135396,0.042543,0.597116,8.446528 
14.710419,1.794399,0.000567,0.188711,8.078629,0.310296,0.029282,0.863789,483693.563933,0.145200,105.145852,2.724179,0.304277,3.971215,3.449343,0.167978,26.804657,38.312838,10.999344,6.644082,11.592177,0.063085,1.239128,11.287208,0.291952,0.635809,2.810603,0.433810,1.491714,32.572427,0.077653,1.948703,27.251820,0.126223,0.386856,4.947229,0.045812,0.097402,12.448354,0.039815,0.731005,24.742188,0.052665,0.939635,33.820697,0.008793,0.112942,7.198852,0.114022,1.124709,3.849569,0.003877,0.453351,11.860014,0.068966,1.132841,3.937276,0.009617,0.107441,12.950468 
0.082717,111.995897,0.000110,0.229837,1.816781,5830601.939294,4.512601,4.747512,9272.008853,0.015726,0.076138,2.457908,0.011591,1.202981,420.528002,1.047865,0.109952,502.857967,0.521097,11.404420,3.712135,0.008150,1.363999,1.375447,0.033567,0.216783,18.444211,0.007714,1.343687,3.738445,0.260481,1.708225,12.186066,0.003982,0.619471,119.648069,0.032219,2.610024,113.278255,0.036049,0.099813,12.953182,0.057833,0.200693,27.913340,0.539870,1.653130,10.017500,0.278034,0.115858,13.398148,0.061325,1.063279,22.112809,0.147949,0.485534,15.226804,0.134679,1.367341,1.306434 
