(alpha=0.50),(alpha=1.00),(alpha=1.50),(alpha=2.00)
1.452284,0.515247,-0.902669,-nan
-0.085603,-1.558830,0.028220,-nan
1.670379,3.090473,-nan,11.325226
0.453132,1.799282,-nan,-0.119990
-1.160502,0.177104,-0.506546,-nan
-4.054176,0.139445,-nan,0.003995
-0.027729,-1.991587,-nan,-nan
-6.829542,-0.843455,-nan,-nan
0.376757,0.853722,1.353209,0.019952
-2.410070,1.400313,10.647741,8.722719
-4.433575,1.125239,-0.603168,-nan
-2.083351,1.961849,-nan,-nan
1.197041,0.886318,-1.911513,-0.527794
0.742031,-1.308212,0.426074,0.574246
0.056712,1.035062,1.478617,-0.661767
0.747385,-1.892025,1.624963,-nan
-6.398350,-1.581121,-0.874506,0.086641
-0.331347,0.786960,-nan,-nan
-1.657652,-1.374214,-0.361491,-0.987002
-1.605895,0.359699,-nan,-0.616936
-4.315951,-0.259198,-nan,0.711722
0.094394,0.962258,2.306001,-3.707963
-1.627196,-0.347923,-1.527151,-nan
1.702572,-0.788949,-nan,-nan
-0.673230,-2.193181,-nan,0.992367
1.449204,0.937403,-nan,-0.789990
0.765975,-0.071386,-1.855941,-0.172888
0.299815,1.024175,-nan,-nan
-1.940944,1.046894,-nan,-nan
1.204124,-1.062112,-1.486420,1.437736
-0.119024,-0.784633,-nan,-nan
3.879497,0.947743,-0.047562,-0.188035
0.757178,0.370110,0.775434,-nan
-0.340706,-0.525373,-2.070574,-0.122648
-2.411283,0.427989,-0.728382,-nan
1.847125,-0.216478,-nan,0.015320
-0.151915,1.104316,-nan,-nan
1.046465,2.034327,-nan,-nan
-0.548967,1.009962,0.186675,-nan
-1.759829,0.438968,-0.705672,-nan
-1.050189,0.837959,-nan,-nan
-0.197693,-2.332959,0.160522,-nan
1.827130,0.950719,-nan,-nan
-1.160005,-1.025151,-1.315499,0.784538
2.777182,-1.031490,-0.413838,0.038255
-0.068307,-0.619447,-nan,-nan
1.081195,-0.625870,2.068756,-nan
-1.269396,-1.444135,-0.031049,-nan
-0.315048,1.022114,-1.560524,-nan
-0.319920,-0.919747,2.614384,-nan
0.855243,-0.402437,-nan,1.855235
-0.893511,1.854492,-1.264918,-3.126314
0.530393,0.292250,-nan,6.236284
5.488891,-1.739123,-0.482789,-nan
3.577583,-1.938247,-nan,-0.385329
1.313187,1.115670,-nan,1.284312
-1.685963,0.681696,2.133117,0.870587
1.032087,-1.852163,0.440246,-nan
-0.283186,-1.717371,0.695287,-0.108451
-1.283146,3.198797,-nan,2.572033
1.612826,2.131705,1.210922,-nan
-1.284494,0.926321,-nan,-nan
0.870801,-1.332220,-1.289542,-nan
0.247121,1.090493,-nan,0.371928
-1.106641,1.227648,1.996345,-nan
-2.097659,0.584152,-nan,-nan
0.078791,-2.337306,-nan,0.014934
-1.050204,-1.508733,-nan,-1.818567
0.470279,-0.230719,-nan,2.647262
-0.167313,-0.400819,0.531838,-nan
-1.016109,4.537622,-2.233217,-nan
2.320676,0.933121,-0.191295,-0.145645
2.670701,-1.371257,-0.690724,-nan
1.887596,-1.051323,-0.401098,-nan
-2.063406,-2.707827,-nan,0.302067
-0.755819,0.816699,-nan,0.543877
0.582555,1.526816,9.768629,-nan
1.185241,1.926200,-nan,-nan
0.938841,0.114101,-nan,-nan
0.098490,-2.042447,-nan,-nan
0.953224,1.233133,0.411291,0.066709
1.824576,3.361690,-0.386901,0.890715
-2.970538,1.100631,-nan,1.433371
-0.884714,0.595528,-nan,-1.836975
-1.060406,-0.166572,-nan,-nan
8.014725,0.954544,0.043975,-0.692324
-25.852528,0.298222,-0.048433,-nan
-1.214909,2.710754,-nan,0.026877
2.441444,0.162105,0.118472,-0.091874
-5.219820,1.152905,-0.454263,0.220819
-1.767049,0.110721,0.807058,3.686917
-0.798181,1.598752,-1.081690,-nan
-0.313501,2.410071,-nan,0.104465
3.103439,0.942957,0.119051,-nan
-14.350575,-1.801942,0.061022,-2.627096
5.188340,-1.372542,1.749842,-nan
-1.150788,0.339017,0.660753,0.124992
-1.330910,-1.044386,1.564756,3.669205
-0.321561,2.499290,-4.391591,0.203330
-0.216965,0.498707,0.347732,-nan
-0.593402,0.598599,-0.363259,-3.758283
-0.991320,-1.270152,-nan,-nan
-1.163774,0.424737,0.008582,-1.254161
-1.498241,-2.151096,-1.748475,-0.173785
-1.083731,-0.220059,0.016283,-1.667687
0.901500,-0.674707,0.202397,0.771834
1.213240,-3.179752,-nan,-12.002984
-1.024165,0.117808,1.204161,1.321787
2.954773,1.029600,2.049053,-nan
0.099307,-0.303710,1.540371,-nan
-1.084272,-0.737214,0.581755,4.526992
0.485701,0.753528,-2.450535,-nan
2.786632,3.122216,-1.479667,-nan
0.760722,-0.838090,-0.348554,2.230233
-0.065728,-0.827954,0.852533,-nan
0.770324,-0.238067,-nan,-nan
-1.946436,-1.408545,-0.029566,-0.472561
-3.452293,-0.164645,1.590828,-nan
-1.831668,1.058676,2.080231,5.006301
-1.124804,2.570381,-0.262531,-nan
-2.172940,-0.888652,-0.370668,-6.192684
1.247356,-0.901960,0.800555,0.206782
-0.522992,-1.758641,-2.176119,-nan
-3.094602,2.259560,-nan,-1.647574
-1.415912,0.084115,-nan,-nan
-0.366705,0.822800,-10.190079,0.364165
1.327699,-0.373041,-nan,-nan
-0.557234,-2.511296,-2.063530,0.804777
-0.197328,-0.705848,0.456001,-0.648007
-0.161255,-1.220745,-nan,-1.463951
0.147278,-0.507183,-nan,0.355918
1.471758,-1.069589,0.907310,-nan
-1.599578,-2.001177,-nan,-nan
-0.216105,0.272766,1.472190,-nan
-0.135010,1.426262,-2.374921,-6.130619
-0.587693,0.349303,-nan,-0.210242
3.773000,-0.533124,-1.922256,-nan
1.634260,-0.134909,0.850512,-0.147439
2.987886,1.302553,-0.223481,1.822519
0.299393,-0.422165,-4.116015,-nan
0.899175,1.480003,-nan,-nan
0.674349,-0.742437,0.339505,0.002692
-0.911099,0.785757,-nan,-nan
1.299939,0.360669,0.460493,-nan
-1.367935,1.693613,0.207944,0.820783
1.901197,2.217022,-nan,2.392086
2.799214,0.147319,-0.852320,-nan
6.608314,-1.662582,-nan,-nan
0.242165,2.734557,1.000571,-nan
1.410064,-0.620135,-3.147089,-0.172111
-0.483935,0.666349,-nan,-nan
0.968295,0.048986,-nan,-nan
-0.630899,-0.400290,-0.053775,-nan
-0.755171,1.991433,-nan,-nan
0.276365,0.606970,5.373034,-42.892470
1.062442,0.476823,-nan,-nan
-1.087314,0.448941,-0.613587,-0.684354
-3.213102,-0.256253,-nan,-nan
-0.347514,-1.519326,-nan,0.041616
0.369893,-3.166108,5.105431,24.995236
-1.322218,2.813005,3.453239,-0.041874
0.037437,-0.497948,-nan,-nan
0.115635,0.077211,-1.066037,-1.053400
1.064614,1.127471,-nan,-3.531756
1.378893,0.002016,-nan,-nan
1.073989,1.281328,1.269426,-nan
-1.728359,0.449172,-nan,-nan
-1.500870,-0.832789,1.013290,-nan
-1.464483,0.226556,1.196047,-nan
1.072345,-0.141337,1.622535,-nan
-1.435215,0.146847,-0.295203,-nan
-0.443823,0.364910,1.359117,-nan
-1.633658,0.198101,0.239347,1.109306
1.779596,-0.029109,-1.957359,-nan
1.069537,-1.587333,0.403918,-1.521655
0.945465,-0.336929,-nan,-nan
3.955581,2.692521,-0.425628,-nan
-3.933516,1.643843,-0.922607,-nan
1.182915,-0.138616,-nan,-nan
0.350038,-0.287738,1.782529,-nan
0.127337,-0.971152,-0.737733,-nan
0.142781,-0.320976,-1.651969,-nan
2.621468,1.034341,-nan,-nan
0.276552,0.441002,1.211444,-0.620178
-0.290220,0.322023,0.349943,1.313544
0.529753,-1.069388,0.480298,-nan
1.448369,0.325489,1.931599,-nan
-0.462034,0.354079,0.161117,0.193772
0.684790,-0.385984,1.291000,-0.063722
1.874320,1.146882,6.369931,-nan
4.179452,1.021234,-nan,-nan
1.083123,-2.841472,-nan,1.074239
1.133579,0.188946,-2.046611,-0.600969
-0.627436,2.411970,0.478123,-0.032825
-0.262136,-2.150503,-nan,-nan
-0.867707,2.421073,2.054919,0.315255
-0.925965,-1.718670,1.342021,0.508536
-0.603393,-0.499878,-0.910769,-nan
0.274172,-0.327935,1.594991,-0.911177
0.392920,-2.419558,-3.213385,-nan
1.267268,0.157922,-nan,-1.423183
-0.991423,-1.792476,-nan,1.225361
1.967438,3.469231,15.910564,-nan
-1.417130,0.813477,0.456169,-nan
1.507529,1.121414,0.349176,-nan
-0.679680,-2.000807,-0.339288,-nan
1.121442,-2.174560,-2.982513,-nan
-0.171985,0.324932,-nan,-nan
0.914123,0.047380,0.335277,-nan
-1.588193,-1.960969,0.455733,-nan
0.981091,-0.023560,1.682626,-nan
0.744237,-1.382973,-nan,-nan
1.622328,-0.500473,-nan,-nan
-0.479160,0.094701,0.630580,-nan
1.425912,-0.087620,13.837831,-2.154011
2.810607,-0.114249,2.416081,1.803785
-0.500905,-1.071016,-1.145834,-nan
-1.711819,0.333130,1.953634,-nan
-1.252550,2.012379,-nan,-nan
-2.004973,-0.917723,-nan,-0.151951
1.186186,3.923303,-1.305885,0.101892
4.051397,1.855912,-0.380455,-2.403348
1.253102,-3.194052,-1.026940,-nan
0.564537,0.225078,-nan,-nan
-1.621040,-1.512870,-4.241432,-nan
-1.181462,2.464662,5.930841,-0.008866
3.712214,1.503748,-nan,-nan
-0.162827,-0.780838,1.236907,-nan
-4.012680,0.454709,-nan,-nan
-0.105425,-0.575751,-0.199917,-nan
3.787285,-1.749402,-2.651524,1.071751
-0.789607,-0.196820,-5.576613,-nan
-1.690317,-2.742416,2.186614,-0.375312
0.176997,1.254320,-1.039235,-nan
0.323054,-3.253376,0.182679,0.172016
-1.685212,0.069465,-nan,-nan
-3.759652,2.170332,-nan,0.061963
-0.700255,0.418221,0.038298,0.184942
0.628374,-0.764198,1.421421,-nan
0.822200,1.506534,-nan,-nan
-1.031587,1.110100,-0.329508,-nan
0.592036,3.908640,-nan,0.474382
5.307153,2.001617,-nan,-0.581030
-0.667315,2.604826,-0.284719,-nan
0.063511,-1.656064,-nan,1.503007
0.266701,0.160539,-nan,-nan
-0.283164,1.017432,-2.061722,-nan
1.420758,-1.165613,0.031601,-nan
0.785587,1.314255,0.686207,0.391963
-1.616780,-1.002516,-2.893853,0.966985
0.889236,0.360365,-nan,-nan
-2.408574,1.660570,-nan,0.632078
0.553676,-3.151809,6.337218,-nan
2.587000,0.581863,-1.040121,-nan
-3.355823,-2.453367,0.798686,-2.424943
0.615445,-0.674488,0.131758,-0.168000
-0.030013,-0.002731,-nan,0.825624
-1.965529,-2.478518,-0.554068,-nan
-0.339786,0.303262,-nan,-nan
-0.500108,-0.434406,-2.592404,0.422861
-1.550229,0.678989,-nan,0.278858
-0.783065,-0.870289,0.529088,-nan
2.032432,-1.768689,1.768985,-nan
1.537965,-1.329084,4.298106,-nan
-0.642800,-0.107963,-nan,-nan
10.245865,0.773578,0.064866,-0.124327
-0.425448,0.857082,-1.429836,-0.434871
0.225786,0.623684,0.479180,-nan
1.265112,0.815503,-nan,27.290005
-3.419237,-0.167990,-nan,-nan
0.483886,-0.310361,-3.036738,-nan
1.354321,-1.411859,0.081815,-nan
-3.128607,0.845928,3.826551,-nan
-0.480597,-0.308694,-nan,-nan
-0.473390,-2.071440,-nan,-nan
-1.079688,0.264445,0.236640,-nan
-0.977933,-1.696402,-nan,-0.640823
-1.022887,0.490084,-0.943325,-nan
-2.291565,-0.504642,-3.541378,-nan
1.373447,-0.587110,3.835980,-0.251842
0.135051,1.728358,-nan,-nan
2.190041,-1.796703,-2.029490,-nan
-0.353580,-1.838320,3.171093,-nan
0.564287,0.653511,-nan,-nan
0.480224,1.319811,-nan,-2.021519
0.074116,0.307334,0.062730,-nan
1.081589,1.943883,-nan,-0.535570
0.476573,0.721524,-0.668818,-nan
1.320818,-1.144122,-nan,-nan
2.191144,-0.320068,-1.301776,-nan
0.512630,-1.329349,-0.662616,-nan
-3.191262,0.316784,6.234104,2.146202
0.811799,-1.708409,-nan,-0.000744
0.384591,-0.125359,-1.225231,4.166042
0.321927,0.126957,-nan,0.322145
-0.774631,1.000066,-0.268241,-nan
-0.852621,-1.026415,-nan,1.043296
-3.113024,1.312008,-nan,2.484534
-0.344302,0.456640,-1.344364,-nan
0.502672,-0.886435,-nan,-nan
-0.857616,0.336584,0.695647,-nan
-0.843338,0.348194,-nan,-nan
-1.386912,0.684656,6.939175,-nan
0.490834,-0.569247,-1.297808,-0.201440
-0.983727,1.177862,0.295233,-nan
1.720816,-1.286167,-nan,-nan
0.519834,1.951114,0.102268,-0.939964
0.045385,2.085400,2.227915,-0.798415
0.030901,-1.511807,-nan,-0.030286
-1.042955,-1.763526,-0.199113,-0.035420
-1.121290,0.153198,-nan,-nan
-0.566920,-0.676911,-5.342578,-0.382130
1.604341,1.134650,-nan,-2.281845
-0.602861,-0.398290,-0.098871,2.489056
-0.738752,-0.088238,0.740995,0.054887
1.578032,1.098715,-nan,-nan
-0.524281,2.173483,-nan,-0.282484
3.705182,-2.151000,-1.657322,-nan
-1.003794,-1.747211,0.013189,0.523091
-0.297124,-0.892414,0.400909,-nan
1.334013,2.103386,-nan,-nan
-0.584690,1.492347,-nan,0.114698
-4.158433,-0.842964,-nan,-nan
-0.711482,1.506048,-nan,0.649838
-1.388120,0.926904,-0.241789,0.576173
-0.105883,0.598023,-1.123835,0.023283
0.139079,-1.022523,-1.411364,-8.272728
1.103930,0.236171,0.106295,-nan
0.020500,0.083276,-nan,1.370877
-0.961853,0.131777,-0.505618,-nan
-0.039201,-2.953329,-0.533682,-1.011115
1.887043,0.698051,-1.778122,-3.131492
-1.179246,-1.068096,-nan,-nan
0.229189,-1.708344,-nan,4.521707
-1.030108,-1.013539,-nan,2.832015
1.125797,1.191999,-0.303443,0.201052
-1.736417,-0.016612,0.730847,-nan
-0.322887,1.076845,-4.314834,-0.123327
-0.122762,-0.676975,-0.312211,0.003860
0.931829,0.981924,0.304283,-nan
-7.909441,-2.869199,-nan,-nan
3.145279,-0.445987,0.578342,-nan
-0.630868,1.529256,1.725931,-nan
-16.900190,0.108886,-nan,-1.942262
1.957330,-0.687241,-nan,-nan
-1.704314,0.459681,3.131731,-nan
-2.053364,0.994977,0.508927,-4.673263
1.351588,1.052063,-1.167657,-3.775591
-0.650906,-0.348585,-0.949068,0.240655
0.682972,-1.513131,-1.588313,-3.310940
-0.437186,-0.614286,3.146216,-1.048561
-2.893715,0.937228,-nan,-nan
-1.886440,-0.305608,-nan,-nan
0.257688,-0.914636,-0.368842,3.017343
1.047773,0.960557,-nan,-3.809736
2.135167,0.165137,1.185260,-1.117121
0.025908,-1.118586,-nan,-nan
-3.951165,0.134992,-nan,-nan
-0.912288,-0.621198,-nan,-0.272916
0.609530,0.920200,-nan,0.028451
-2.691640,0.402542,0.169950,-8.103644
1.210366,-1.290221,2.091263,2.565099
-0.258388,2.023797,-0.642270,-nan
-1.608219,-1.204628,-nan,3.689187
-1.254629,-0.002926,-2.373283,-nan
0.908997,3.373028,-1.968299,-nan
-1.353956,-0.767537,-2.033651,-2.711408
-0.347980,-0.582719,0.512029,0.318102
-0.503075,0.501803,-2.168848,-nan
0.249689,-0.359637,-0.504289,-nan
-0.753078,1.919680,-nan,-0.046966
0.098927,2.119925,0.441115,-nan
-0.489106,-2.470479,0.226290,-nan
2.503074,-2.525174,3.162551,-nan
-0.496570,0.956198,-1.955276,-0.790337
4.582112,0.217166,0.198622,0.589087
-0.301991,-1.706215,-1.255166,-1.501211
0.388963,-0.417375,0.465788,0.211234
-1.529539,0.023299,0.225408,-nan
0.620656,1.666924,-nan,-4.307348
0.265504,-1.126843,-1.576462,-nan
-1.066610,2.120605,-nan,-nan
-0.309591,-1.322429,2.217858,0.019884
0.473902,-1.652668,-0.935989,-nan
-0.391872,-0.389914,1.315462,-5.196077
-0.750546,-2.724487,-0.676734,-nan
-0.892606,-1.273175,-0.679236,-nan
-0.198749,1.935895,0.661140,-nan
-1.715478,0.802217,-nan,-nan
-1.166704,-1.803796,1.812261,0.276177
1.285458,-1.286154,-nan,-nan
1.282491,-2.687131,-nan,0.502275
-1.952290,-0.881700,-nan,-0.429791
-0.404782,0.688524,0.468225,0.798330
0.687215,-0.187176,0.656585,-0.996313
-0.469641,0.490022,-3.310774,-0.226398
1.342598,-0.270852,0.668189,2.196982
0.899761,0.668214,0.611582,-nan
-3.124478,1.360424,-0.749963,0.097627
-1.117729,1.856243,-0.967364,-nan
-8.612297,-1.335552,-nan,-nan
1.307811,0.617871,1.649375,-nan
-0.732067,-1.111405,1.793889,-nan
1.414968,1.604376,-1.221550,-nan
0.134851,3.826987,-nan,1.218709
1.756325,1.534057,-0.213881,-nan
-0.277989,0.414606,0.693661,-nan
-1.871302,1.400387,0.408401,0.172121
-1.667977,-1.662899,0.795514,-nan
0.045209,1.871012,0.447075,-nan
0.189447,0.854815,-0.215820,-nan
0.240170,-1.822666,-nan,0.097232
2.405445,0.444811,-nan,-nan
5.357085,-0.800520,0.436824,-nan
-1.926805,-0.066463,-nan,-nan
-0.022603,-0.411999,-0.348912,-0.826413
0.720617,0.764855,-nan,2.445378
-12.222406,-0.649317,-0.480180,-nan
-2.046410,0.193341,-1.562874,-nan
0.875971,-2.345517,-nan,-nan
0.009876,1.211956,-nan,-nan
-0.185252,0.450289,-1.370746,-nan
1.823299,-2.687187,0.392433,-nan
-0.006603,1.250107,-0.545715,-0.212718
-0.377398,1.389598,0.687867,7.035447
-2.933539,0.147238,-nan,-1.020434
1.139512,1.266963,-0.358978,-nan
-3.882873,0.215962,2.941692,-nan
-0.354611,-1.719886,-0.294355,-2.322673
0.449335,-0.235111,0.383671,-2.490494
-1.551503,0.273253,-nan,-nan
-2.537556,-0.336023,-nan,-nan
-2.129271,0.322790,-nan,-nan
-0.681159,-0.154239,1.660271,-nan
-0.697626,0.600477,-0.447180,-nan
1.916543,0.562074,0.933703,-1.203539
-1.879424,-0.516361,-nan,-nan
2.901633,0.713023,0.295510,-nan
0.114040,-0.934340,0.427834,-0.696608
1.470952,-0.014085,-nan,-nan
0.175656,0.109859,0.517720,-0.025606
-2.560526,-0.168142,-nan,-2.028203
-2.691426,-2.344828,-nan,-nan
0.462689,0.029158,-0.550121,-nan
0.821099,-0.271086,-nan,-0.181835
-1.008747,-0.131201,-nan,-nan
1.199466,-0.859161,-1.091311,-nan
0.799373,-0.408198,-0.394299,-nan
0.667236,-1.624562,0.298349,0.377059
0.310655,2.052193,-0.821668,0.242484
1.277272,1.475586,0.176770,-3.231534
-4.606672,1.728817,0.724200,-nan
-0.878730,-0.633367,-1.229239,-nan
0.276586,0.266620,-0.297790,-nan
1.865430,0.447821,0.998010,-0.081715
2.326565,0.442376,-nan,-nan
-0.102281,1.359204,-1.471063,-nan
0.508776,-0.175044,-2.188842,0.837047
1.552491,2.342437,-9.894655,-nan
-5.325073,-0.416679,-nan,-nan
0.901131,-0.531238,-0.762552,-nan
-0.077852,-1.764359,0.460299,-nan
-0.761550,0.473836,0.633721,-0.082755
0.822981,-1.155449,1.288977,-1.996523
-1.648535,-0.847001,-nan,-nan
-0.439142,-0.430468,-nan,-nan
-1.634797,-1.177765,-0.292500,-nan
1.772735,-0.079218,-nan,0.825768
-1.011729,1.227996,0.499534,-nan
-1.375683,-1.304296,-0.557981,0.606443
-0.123901,1.761383,-3.076182,-nan
0.612113,1.140752,1.491601,2.070766
-0.302529,0.233786,-2.572386,-nan
-3.407086,-0.969416,-1.202007,-nan
0.691087,-0.994538,-0.281201,-0.510668
-1.469458,0.612699,1.518871,-nan
-1.764156,-2.325495,0.385573,-1.116173
-1.005211,-0.392254,-0.416821,-0.332990
-12.546348,-1.519733,-0.212934,-nan
-0.349420,-0.266049,1.990623,-0.310604
1.009103,-1.684787,2.486665,-7.228757
-0.421219,1.038971,-nan,-nan
4.921489,0.485541,3.604521,0.067465
1.023280,0.546151,-nan,-nan
-9.164973,-0.165742,-0.903853,-0.490409
-0.601591,0.195143,-0.862079,0.367177
-0.749011,-1.394576,0.447121,0.881982
-0.697035,-1.344273,0.115315,-nan
-1.275980,0.730216,2.201403,-nan
0.612805,-1.352622,1.228955,-nan
-1.431093,1.609511,-nan,0.609938
-0.637715,1.102863,-nan,-nan
-2.158671,-0.005927,-0.876302,-nan
7.351900,1.687865,-7.963871,0.593730
0.863216,1.906609,-nan,-2.233136
0.886552,0.378794,1.109276,-nan
0.653538,0.341219,0.088305,-nan
0.575552,1.197193,0.050122,1.667588
6.280559,-0.813562,0.285990,-2.413390
2.007112,3.678232,-nan,-nan
1.649443,0.274026,-nan,-0.133466
-3.492575,-1.641743,-0.707001,-0.910245
0.533875,-0.957380,6.791558,-nan
0.731370,1.341505,-nan,-nan
0.104271,0.213630,-nan,1.710282
-4.184520,-0.057761,-0.944564,0.882509
10.021288,-1.302804,-0.117784,-nan
-1.557149,0.137014,1.021534,0.064466
0.695743,-1.155928,-nan,-nan
0.540907,0.366249,-nan,0.106263
2.561878,-0.730334,-1.789523,-nan
-0.139275,0.333448,-0.495940,-7.534520
0.560161,1.279914,0.737141,-nan
-1.343104,-0.389974,-0.208032,-3.353098
0.034853,-1.372277,-0.644642,-nan
0.038731,0.098076,-nan,-nan
11.348198,0.289343,2.824142,-nan
0.638209,-1.925983,-0.035345,-nan
0.298449,1.498196,4.217023,-0.898376
1.267881,-1.247989,-0.979615,-1.202014
1.284081,-0.757248,-nan,-nan
1.086045,1.452245,-nan,-1.871203
0.012553,-1.616164,0.976562,-1.488406
-1.166820,-0.023259,0.528480,0.151161
-2.070550,-0.245064,-0.270477,0.203242
0.402702,-0.480875,-nan,-nan
0.068439,0.304542,-1.184853,-nan
-0.001071,0.130006,-nan,0.297484
-1.249749,0.896903,-nan,-nan
-1.225620,-0.473853,-1.108717,0.835077
11.332079,-0.935646,-0.671031,-2.677944
-1.071413,0.033105,-1.286473,-4.238592
0.514936,-0.866779,0.632296,-0.243885
0.250504,-0.025228,-nan,-nan
-1.167110,-2.144793,-nan,-nan
-0.843081,-0.721755,2.751723,2.342174
0.266633,1.664555,-nan,-0.288322
-0.100208,0.796678,-2.879904,1.122853
0.210555,-1.975913,0.118625,-4.009266
1.284186,1.477636,-nan,1.711426
0.412070,0.269115,-nan,-nan
-0.372311,0.658618,0.185035,-nan
-0.606728,1.599279,0.027014,-nan
-1.376771,-0.246263,-1.232214,1.131993
-2.275651,-1.744326,0.142921,0.548865
-1.761819,-1.126921,1.488490,-0.364412
-3.417575,-0.576677,2.376131,-nan
-1.234823,1.200360,1.099906,-0.498024
0.620009,-1.808431,-1.430611,-0.481135
-1.034289,0.010755,2.621750,0.653491
-2.164610,0.240406,-0.029202,6.059298
-0.117641,-0.417782,-nan,2.592850
0.579653,-0.973758,3.260461,4.854987
0.725833,-0.727735,-nan,-9.275886
0.856904,-1.361985,0.905870,-nan
1.440562,-1.272987,2.319465,-nan
-5.548727,-0.097233,-1.465342,0.758521
0.753045,1.455145,0.010441,-nan
0.257461,-0.203649,-nan,-0.934390
-1.376028,2.992703,0.825648,-nan
0.925861,2.199028,1.450939,-nan
-1.385030,-2.330262,-0.441696,-nan
-0.024935,-0.534761,-nan,-0.635307
2.255457,1.878155,-0.234659,-nan
-0.060922,2.982163,-nan,-nan
-2.570273,-1.663963,-0.156092,-nan
-1.765263,1.913957,0.947165,0.287802
1.132827,-1.909193,-nan,-nan
-0.671556,-0.630997,-0.079056,-0.828618
1.667483,0.586256,-nan,-nan
-0.301966,-1.881548,-0.277032,-nan
-1.808514,0.229025,3.294425,0.262476
-0.603370,-0.367993,-0.171458,-nan
-1.696221,0.081803,-0.385611,-nan
-2.097476,0.871962,-2.282699,-3.099853
3.076267,-2.963955,-nan,4.244513
-0.882098,-1.268699,-nan,-nan
0.897694,-3.324187,-0.877073,0.772460
0.704972,-1.541221,1.752343,-nan
-0.988061,-1.220399,-14.166256,-nan
1.229427,-0.892541,1.239871,-2.828176
-0.107144,-2.053919,-nan,1.801212
0.257296,0.946647,0.183850,0.893814
-0.037480,0.336038,-0.407513,-0.135596
-2.665286,0.107354,-2.324968,0.118952
-3.361481,-2.556687,-0.401728,1.791062
-0.275845,-0.249258,-nan,0.690137
2.271997,-3.308613,-0.637838,-nan
0.519189,3.040234,-0.471355,-nan
-0.171512,0.297400,-0.397641,1.215518
0.876415,-1.674056,0.914784,-nan
1.522055,-0.309747,2.614369,4.893614
2.767333,0.101288,1.523793,-nan
-1.518291,-1.286907,-nan,-nan
1.726088,-1.393406,0.921284,-0.667670
-0.296153,0.120192,-4.925406,-nan
-2.255444,-1.049035,-0.700266,-nan
6.177307,1.729430,-nan,-nan
2.982932,-0.476389,1.962013,-nan
0.477937,1.331737,-nan,-nan
0.350994,0.920063,-1.721180,1.067691
3.041291,-2.405581,2.328848,5.595056
-0.641967,-2.394178,-0.054279,-nan
-0.284898,1.789308,-nan,-nan
-0.912418,1.109411,-nan,-nan
0.267181,-1.644105,-nan,-nan
3.435251,-0.656324,0.467183,0.380803
-3.106009,-0.318664,-2.238772,3.830297
0.046417,-2.600712,-nan,-5.994565
-0.860867,-0.075776,0.557763,-nan
-0.817751,-0.196405,-0.694278,0.753901
0.616593,-0.242494,-0.364051,-nan
-1.098937,1.838306,-nan,-nan
0.937744,-1.340702,2.386606,-0.103072
-0.404156,-1.990623,-0.778245,-0.753828
-1.974808,-1.072733,-0.164748,-1.110598
0.872783,-0.566625,-0.234888,-nan
1.574459,0.659851,-nan,-nan
0.856298,0.654404,1.005043,-nan
-1.666863,1.030487,-0.904725,-nan
-2.741572,0.324460,-nan,-nan
0.944946,-0.381028,-1.035700,3.232233
3.676249,-2.572968,-nan,-6.858898
-2.541863,-0.332799,-1.668063,-0.748419
