(alpha=0.10 x ell=1.00),(alpha=0.20 x ell=1.00),(alpha=0.30 x ell=1.00),(alpha=0.40 x ell=1.00),(alpha=0.50 x ell=1.00),(alpha=0.60 x ell=1.00),(alpha=0.70 x ell=1.00),(alpha=0.80 x ell=1.00),(alpha=0.90 x ell=1.00),(alpha=1.00 x ell=1.00),(alpha=1.10 x ell=1.00),(alpha=1.20 x ell=1.00),(alpha=1.30 x ell=1.00),(alpha=1.40 x ell=1.00),(alpha=1.50 x ell=1.00),(alpha=1.60 x ell=1.00),(alpha=1.70 x ell=1.00),(alpha=1.80 x ell=1.00),(alpha=1.90 x ell=1.00),(alpha=2.00 x ell=1.00)
-18.681680,-41504.605285,-0.111102,-31.649488,3.584959,-2.602287,-3.160392,-0.899329,-1.020882,-2.819207,2.486937,0.578323,1.397510,0.635884,-2.307885,-0.442048,0.727519,-0.068293,-1.202542,-0.165686 
198275.730550,6.696014,3.291854,-1.790274,-6.298722,4.045814,-5.726783,-16.119165,0.822518,-0.567308,-1.175459,0.356572,-0.097017,-0.732812,22.404803,-4.663025,3.530217,0.898904,-0.063381,-0.148432 
6.712013,0.365508,0.108971,3.222579,-0.261172,-1.724377,-0.648807,-0.013078,-2.861955,0.386985,-0.862267,-2.125517,1.711102,-0.188886,-3.690435,0.016459,-0.147592,1.120098,0.579301,-2.745776 
0.000145,3.576842,-73.579497,-4.129173,-1.945233,7.090091,0.406399,2.420802,-3.725126,1.413349,-0.206830,3.096910,-1.327061,0.709585,5.810037,1.476882,-0.192802,-3.419948,0.134376,1.034595 
0.000345,1101.889025,4.897064,0.569131,-0.298402,-0.642286,-0.534637,0.245029,2.076573,-7.219601,-0.220173,0.074330,-0.083194,-0.472319,-3.951655,0.635250,1.212147,-0.660063,1.449620,2.325950 
-343059119430.077820,-0.025381,-1426592.804479,-9.487317,-0.152419,0.715430,-0.551443,-121.996615,-0.510350,-0.861167,1.177002,-1.452756,0.726368,-0.296698,-1.537482,0.879631,-0.674251,2.088230,-0.932682,-1.390173 
5.183094,8.358049,-27390.998326,0.124388,23.579221,-6.017815,-0.456946,6.469809,5.943808,-11.129794,4.513066,-0.148076,1.405946,1.648559,1.222840,0.662471,-1.267995,0.626610,1.499866,0.601881 
4430.117667,-0.068424,0.273234,3371.915185,-0.110179,-248.673300,0.063688,-0.083604,-1.051812,8.318144,-2.002032,0.783197,1.376031,5.391461,0.857399,0.840968,-1.155730,0.954719,1.501596,0.977075 
0.003917,-28.127144,-0.036634,4048973.209796,92.424975,0.139513,-10.953642,0.167036,-1.197222,1.533045,0.976693,3.005707,-2.022533,0.668606,6.855469,-1.538387,0.073179,-2.480462,2.145993,0.021848 
-3.580931,-15.946523,238820900.692229,-0.424684,0.146420,-0.097558,3.249802,0.287209,-0.082842,-0.130322,0.758647,-1.288027,-0.925454,6.969974,-1.310841,2.686858,2.130819,0.944064,-0.140072,-0.103334 
926494.249327,-503.183071,-0.024552,-408.020191,10.056616,-0.272189,-1.448652,-19.428041,-7.371633,-17.517399,-2.940476,0.192401,-0.711697,1.040484,1.503501,0.297817,0.504739,1.328644,1.621143,-2.442833 
0.005685,0.000202,44.045411,-38.806558,0.199556,0.018283,1031.135507,10.338749,0.187656,-3.618041,-3.207187,1.885300,0.825905,1.240113,0.298582,0.070081,1.587261,3.001991,-0.285686,0.547445 
-0.359047,4.960473,70.686945,0.974456,-0.369786,2.369464,-90.182418,-0.573959,-1.565950,-0.206941,-4.465413,2.912979,13.758814,1.333146,0.023559,-0.250246,-15.374578,0.274773,-0.039861,-0.624583 
-196319867012.215851,0.000921,60.440721,0.138553,2.672505,0.187779,0.179420,-0.031850,-17.714798,0.745154,-0.466849,0.073977,-1.588259,0.101594,0.746790,1.173455,-0.904176,1.641878,-0.839007,1.595852 
-0.000511,3.323511,3619.890850,4.074940,7.520762,0.509074,0.257793,0.968008,-53.900130,-10.573309,0.040759,-0.837794,5.593210,-1.232265,1.081135,5.716576,-1.016272,0.352344,0.517029,0.085434 
-3593161521.512724,-34.236496,0.018344,0.017336,-1.316421,2.485607,-0.525144,0.296729,-0.492264,0.687355,0.603982,-5.197925,-0.550376,2.495190,-0.231859,-1.280821,-1.028980,-1.199596,-1.622827,-0.990025 
-0.000044,833.175134,0.464131,-0.147892,-5.785608,-4.284203,-0.114440,-0.048874,-0.663678,-0.303422,0.023326,-0.795783,1.246387,-0.616913,0.189147,0.520313,1.120777,-3.718076,-1.804742,-1.218542 
-259.401871,3.703637,1.981526,0.380912,1.525652,0.598811,2.164549,8.712002,0.051908,-4.470130,0.544128,-1.452671,-1.343460,-1.320133,0.293382,1.408251,0.567238,1.562411,-1.469739,0.917276 
7.702923,408.319747,-0.273844,-5.367233,0.694249,-0.463657,-0.503319,0.357752,-0.059828,-0.385798,0.300625,2.851486,0.760018,-0.237979,4.324194,-1.321213,-2.186604,-1.191886,-0.030223,-0.387588 
-0.037311,-325551961779.207886,0.171219,-18.446359,-0.768536,0.592520,0.163346,0.847562,-3.628913,39.817982,-0.326778,1.391142,-2.353334,-0.986186,-0.383665,-1.440670,1.224256,-0.843121,0.624029,0.206433 
-0.771497,-0.012536,-0.306691,1.981614,-1.147157,3.559532,15.081966,-0.120033,-11.310447,0.056505,-19.817614,3.990236,-0.384593,0.602760,-1.016007,0.299448,1.275383,-0.393249,-1.225806,2.486281 
-0.000225,-0.016415,-1.155470,0.021328,-5.212583,-6.123024,0.484477,-0.209747,-0.173290,-4.274453,1.789531,-0.566353,0.135857,-0.840054,-1.735802,0.213091,1.258434,-0.967487,0.664897,-0.894845 
-0.000005,-0.030649,45.407669,311.824267,-0.306335,0.058005,0.137689,1.084373,-0.062610,0.621593,-0.719017,-1.073129,-0.507957,0.296166,-16.278057,-0.138024,3.508992,-0.592371,-1.373910,1.770586 
22926.569751,-11518809.583943,0.774246,-0.677902,142.667038,0.543304,-0.109148,1.258846,0.201493,-0.805301,-1.531575,1.955962,0.979215,1.863965,-3.319705,-2.370589,0.733983,-0.721184,0.349558,0.004310 
-0.632838,0.091922,660343.821711,36.229007,0.711247,784.115102,0.162574,-1.297861,-3.512171,43.155544,0.093454,0.350258,2.072515,2.600078,2.570839,0.802909,2.162187,0.130671,-0.583556,0.795913 
346337255.735246,-0.154257,-207.876386,-0.229141,0.218074,0.971608,0.236118,-1.531403,0.872177,-0.401561,-1.110756,-0.269558,-0.965573,4.966321,1.340076,2.418549,0.816817,0.041697,1.842096,0.443617 
-3258717016013.739746,-0.007906,-0.001636,0.361715,-17.916038,0.450997,-121.028363,3.786615,0.229170,1.523765,1.635142,-1.060961,0.953793,0.311913,-4.829610,-2.600316,-0.757130,0.449788,-0.563028,-0.478282 
-27530067.906956,-0.076490,-9.644095,-1.500372,-0.384500,-3.439857,2.620318,0.036950,0.534651,-4.054608,1.635315,1.194688,-1.674716,8.714064,1.584838,-0.074432,0.043862,-0.445587,0.157010,1.458688 
2.684497,20.015738,-7.742056,-0.068978,0.555924,0.511789,24.252937,-0.445296,1.443476,0.002271,1.318762,-1.192770,1.731708,1.636905,0.864776,-1.389232,-1.377864,0.431621,-1.909478,1.424278 
-121759.091174,-15.337297,0.098018,2.218131,-4.355632,8.225350,0.227842,-1.196916,0.664377,-0.050441,1.186223,-12.987718,-1.608634,0.183943,-0.261007,-2.307443,-0.472166,0.348820,0.942985,1.525683 
-3.123733,5.467873,0.007055,0.166672,0.182317,-3.201076,-0.340038,1.468279,1.245069,-2.218742,0.210935,-0.776163,1.004000,-0.380395,3.051063,-2.759786,3.616077,2.380234,-0.421364,3.585584 
-144450345.967062,0.149497,-0.033917,-3.901742,0.085117,-0.230107,2.227368,1.523365,0.339329,-0.141835,1.362517,1.422160,0.126210,-1.805562,-0.603221,6.090229,0.117171,-0.291622,-1.229149,2.040833 
38196.104598,0.004291,3.260884,1.503604,0.107902,1.038669,1.670507,-0.131562,-0.218339,0.121244,0.152987,0.355110,0.735384,-3.441480,0.278684,1.681653,1.533062,0.422061,1.002960,1.616236 
-27740288.593661,64.615972,9.466685,0.011590,1.064323,-0.351291,0.948008,-0.408427,1.470886,2.826855,1.329974,-0.975703,7.986443,0.868984,3.068005,1.094918,1.022055,-2.652674,-1.495148,0.704483 
8710.221330,136.389394,-0.095959,-0.832286,-0.046121,5.186776,1.458681,-0.426154,-0.137479,-1.881751,-2.524640,0.580906,-1.367953,2.220834,1.172613,0.233650,-1.036215,-1.497715,1.008423,0.303112 
-8892380.240122,-14256647.554650,-3.679089,-12.558089,4.698719,-0.122980,0.649024,-1.390807,0.458689,-1.546207,-1.504632,4.344733,1.239658,0.179204,-8.756227,-0.712900,-0.957296,-2.798667,-1.981019,0.734216 
26.928137,517685.920327,4.420707,-1.364819,-1.021828,0.833993,0.333284,0.760341,3.878204,0.583797,0.380065,-1.176040,-0.828382,-1.888559,-0.469736,-3.210460,1.286554,-2.197319,-1.960111,1.787403 
-0.405827,4164.844366,-7698004.240725,29.776875,57.591985,0.287698,0.223863,-141.381396,-2.625352,-0.893999,0.210542,7.362106,1.340598,-0.017452,1.025636,-1.545187,0.712273,-1.297235,-1.675398,1.387808 
1.189222,-2378.332330,-0.112140,-0.271175,-1.510028,0.085768,0.318889,-1.700825,1.591675,-0.195731,1.821096,-0.579380,2.698939,-0.153292,1.411199,0.840407,-0.613374,-1.024961,-0.919364,-2.205871 
-7.462948,21.150811,0.056231,1.839672,-0.105569,0.285006,-6.123933,253.551239,-9.698482,-7.151823,-1.809873,-0.150568,1.074988,2.578768,-0.823536,0.036816,3.649142,1.635272,-0.359883,-1.318754 
29.810071,-0.275772,-0.162933,-3.538569,0.913684,0.072179,6.491413,-8.692980,-0.728117,-2.456623,-1.324389,-1.881236,-1.107904,2.328923,2.146634,-0.004441,2.124374,1.385944,-1.591053,-1.665240 
-194929698.422013,-0.551984,0.086052,-52.201577,-2.176905,0.328982,-4.116918,-1.287037,-0.089552,-3.453444,-0.193115,1.207338,3.911152,-1.533467,-1.114541,0.637508,-0.648452,-0.181994,-2.873893,3.247822 
-0.060200,-55.484871,0.601124,-0.286314,0.169443,6.228274,-0.197688,-1.540770,0.189724,-5.249796,0.722884,0.157641,-2.170583,0.040655,3.456922,-3.137998,-2.525189,1.923337,-1.653685,0.077733 
-6596.935251,0.127548,21.104561,14.595858,0.142246,-0.127965,1.019148,12.212518,1.173993,4.121300,-2.672221,2.135209,-0.997970,0.710946,-0.296281,-1.395216,0.651490,3.901386,-1.446142,0.260693 
723.363121,558298.771023,171.520090,-0.522596,-0.227818,0.229839,-0.160439,-1.603669,0.079806,-0.861541,-4.570460,0.776634,0.295514,0.261459,1.382609,0.967194,-0.283980,1.508847,-1.328956,1.418758 
1.862603,-0.152927,0.000719,-192.289225,0.117598,2.521345,1.457890,0.619731,-1.040602,-0.810158,-1.503855,0.698699,1.177601,0.276184,-2.243550,-2.380826,-2.282827,1.926760,1.582727,0.470563 
234.890316,-0.023312,0.100392,-15.861583,3.085909,1.118581,-1.181318,1.858716,-29.041477,-1.400931,0.321621,-0.852772,0.500225,-0.842668,0.102159,-0.085249,-0.027518,-0.002827,1.743287,0.554582 
-5165311.448505,-0.031581,-0.616154,-8.514929,-0.220223,0.067887,-4.398894,3.179582,-0.237357,-2.405415,-1.414407,0.331404,-1.338570,0.540301,2.335599,0.232725,-0.691260,-0.813807,0.347337,-0.921496 
0.034468,-11.530763,0.163664,1075.921748,0.411459,-0.551623,0.453431,17.732615,-1.221871,-0.129709,2.617997,2.984429,17.045681,2.524450,0.184022,-0.149626,-0.452788,0.805432,-1.058014,-0.358257 
0.002859,0.669728,8.448497,1.895033,0.227283,31.732262,14.914402,0.575253,-100.703230,-0.522510,-15.410331,-1.413221,0.403873,-0.364854,-1.482664,-1.890666,1.480273,-1.285134,0.075227,1.633495 
-0.551924,9.913938,0.022940,2.555588,-0.122584,-1.235256,1.635180,4.782963,-0.366994,-0.594129,-13.417648,-17.487127,-1.338241,1.159125,0.163954,-1.511348,-0.769971,-4.522431,1.041361,-0.415015 
-13.574442,62.421641,-0.111078,-11.086497,-1.301627,-0.290648,-0.823301,2.554702,0.819870,-0.241313,0.883795,-0.088789,0.155141,8.545285,-1.129432,-2.663900,2.370879,-1.636349,-1.439784,-0.839922 
-77.306256,-0.605973,0.064529,3.576718,0.458376,0.619831,-47.108826,3.192308,0.302049,0.635448,1.848890,-0.833462,0.074469,0.284476,0.182029,-1.234160,1.055339,2.152989,-1.456720,-0.427150 
7.725325,137412.064135,-0.005416,4.008833,0.947573,-0.399235,-4.373306,-28.046729,1.146750,-0.114037,-0.922148,1.569655,0.453212,-0.911320,-0.659484,-2.199946,-1.262297,0.311223,2.248363,1.061719 
66521721599049.734375,-2478.872213,2841.500719,-0.008990,0.551941,-11.519393,-2.338929,0.571835,0.366391,0.154361,1.791256,0.202339,-0.615039,1.679984,-0.151776,4.212357,-1.033676,-1.034733,-2.490648,0.673542 
-677881906.269815,44580848.185571,1.258065,1.500179,-0.440347,0.087702,-0.248262,-2.190747,0.359792,-0.442413,4.951955,2.689086,-0.838355,1.762896,0.552607,5.017243,-0.812484,0.343359,1.699829,0.679554 
-362332.939327,0.281976,0.918677,981.250224,0.454627,-1.012591,-0.404203,-0.103847,-2.195719,0.541373,0.157884,9.673633,1.452552,-0.914718,2.143596,-1.422484,0.536052,2.098842,0.084827,-0.579246 
10.886159,36.997343,0.098135,-0.044543,0.126994,-5.910717,5.034007,-0.007489,-8.148548,-2.925192,-0.490507,-0.035080,-1.229190,0.143241,-5.694810,0.813565,-0.718889,-0.582021,-1.992541,-0.332186 
0.016078,601.823519,-1029575.218593,-0.119387,-0.163033,-116.949351,-0.149426,0.497237,-0.862581,-0.035533,0.329913,0.103864,1.522509,0.910365,-3.142983,0.639999,-0.537543,2.054248,2.057082,-0.185303 
4.463248,-0.079540,-0.057522,4.850967,-1.909061,-7.061172,0.354612,0.078106,-0.577162,-0.723064,0.180436,0.942038,1.178772,2.906817,-1.237183,-1.441333,-0.633521,1.519715,0.500742,0.107070 
-10323.744294,-0.008436,-32.272438,2.186545,-0.118954,0.153415,2.077242,0.111242,-14.429991,1.016392,-0.615911,0.270825,-0.104352,0.845217,-0.772761,0.015055,0.125054,-1.173490,-1.087021,-2.767132 
204596.241799,4969.122256,251.341717,1.459450,0.048932,0.006583,58.426604,0.202412,-0.605336,0.380912,-0.478294,-0.895809,-0.032168,-2.267307,-0.467018,-0.473880,1.957670,0.686253,-1.107139,-1.249641 
-8.126076,-43.290946,-86.308871,1.596757,5.700052,-14.932882,6.068386,0.971765,-2.222767,-0.461460,-6.622386,0.680236,0.987706,1.844698,-0.209949,0.256425,-1.619219,-0.015238,0.635861,-0.338671 
-10.873084,0.156648,-0.006503,-0.005881,-7.005284,-2.436323,-0.305833,0.004567,0.498996,0.485852,0.602998,1.503202,-13.052506,-3.529071,2.915709,-0.773682,2.481975,-0.463861,0.448421,-1.359317 
-0.000004,152.916605,0.334963,-4.694941,-49036.719358,0.452637,5.530264,-0.463489,2.664421,-1.012483,-7.227378,4.365776,-3.136422,0.468982,1.592438,-2.777454,-2.253063,0.965228,0.469657,-2.157391 
0.003977,53.458508,-0.200740,-0.079012,-0.808002,-25.575858,-0.762233,0.205079,0.309791,-0.743329,-1.031497,-0.497986,-0.372971,-0.563601,1.606482,-0.628653,-2.390356,0.882858,-2.734915,0.646074 
-0.000007,-230.873965,2.681842,-1.141836,0.511074,-1.504543,-0.707131,0.552424,0.820313,0.380996,-6.591832,-0.872700,3.450502,0.120490,0.931853,-0.396330,0.029093,-1.191087,2.209283,-1.727229 
-0.458207,144240906661.881561,-3423.102693,38572.093870,-0.088759,-0.232677,4.043976,-0.116309,2.355712,3.021822,4.784669,0.061999,-2.681915,0.488406,0.207518,-1.606172,1.405397,-1.138631,1.395277,1.371665 
-861492.961220,0.045878,-1.645805,4.935932,-0.779228,-0.197203,-51.226320,0.869587,-1.748328,-0.004099,-1.278958,-16.495886,0.793569,2.269640,-1.240448,1.051175,-1.283761,-0.906242,-1.392307,-0.975178 
-0.021312,-1280.756125,0.180588,0.002068,-0.533430,0.033421,-0.393348,-1.952441,0.196946,-0.106882,-0.282839,1.399028,-0.616116,1.412681,2.109031,-0.027927,0.104332,2.388138,0.421029,-0.872937 
-551744.540612,-0.000851,19.387189,-282.098045,1.394724,-0.350129,1.279972,2.899365,-0.360876,0.699231,-0.756362,-0.239573,5.766439,0.235386,0.249073,0.296638,-0.341539,-1.677285,-0.484686,-0.869819 
0.026902,-2.766229,1.155746,0.044018,-3.017241,0.016533,0.386019,2.522810,0.313242,2.895881,-7.260880,-1.009641,0.295104,-1.343017,-0.992526,1.551001,-1.136770,1.786572,3.357361,-1.258373 
-36160.432267,-0.094640,2.162344,0.064801,0.215386,-0.127616,-0.287490,1.093511,-0.255671,-0.191249,0.498863,-1.013187,-0.839118,-5.961630,-0.394585,-1.952110,-1.029385,-1.099800,-0.470361,-1.440277 
-48.017159,4601108329.987335,4.182223,-15.276161,-11.271219,2.580882,-2.193513,18.793786,-1.110899,-18.146926,1.284273,0.406887,1.259463,-0.774512,-2.171941,1.378786,1.010005,-2.600117,2.868324,0.278207 
-0.000137,-6125700278.457906,122.407132,-9.370055,-40.662506,0.045534,0.195914,0.390403,0.653491,-0.253448,0.419403,-0.430467,-0.564471,0.511537,-1.668714,-0.133106,0.976636,-0.240906,0.596199,1.132721 
0.000003,0.000093,4.816379,3.145971,-72.530729,0.520413,-0.539291,0.031321,-0.423013,1.188418,-0.754424,-1.620552,-11.453988,-0.936731,-0.592752,2.167095,1.285466,0.660738,1.183546,-0.176599 
-0.000965,-1373097.980738,0.054961,-440.136948,0.794978,0.236242,-0.841678,-1.365316,0.128102,8.147000,-14.042052,0.580844,1.772094,1.725313,-0.206556,-1.948390,-0.294339,0.419037,0.617858,-2.760747 
-0.006689,158.506918,1.582218,0.019114,-11.447899,-1.039561,0.216634,2.953388,0.172722,7.911534,0.416505,-1.959596,0.162818,0.426190,-0.152609,-2.193141,0.274070,-2.616722,0.969147,0.064477 
2071583071149644.750000,14.114684,27.092675,-6.136672,48.064592,-10.139062,1.192619,7.862822,-1.620248,-0.028955,1.690382,119.250826,-0.024595,-0.475931,-0.194243,-0.357930,0.737939,0.705669,-1.790218,1.331975 
-197.590566,-12.592168,-0.117990,-0.577223,-5.141060,0.392101,-0.350375,3.884531,0.986913,-1.113822,3.280672,-1.546089,0.010698,1.119168,-1.371607,1.740706,-0.180749,0.422762,-1.052420,-0.820054 
9.032661,-644.067726,0.981055,-773084311.263758,-0.001273,2.260075,-0.675626,-0.063290,-1.038889,0.483596,0.797353,0.952213,-3.318351,0.129854,-3.829659,-0.605751,1.173048,1.589498,-0.274942,2.015195 
-362.624052,856058.649831,0.159620,-233.051420,-0.158237,-1.193824,-0.921970,-0.550974,0.311866,-0.159283,0.181921,-0.760083,-1.725282,0.302612,-3.670531,1.400270,-2.676799,-0.327748,0.698366,2.194147 
-113024767005.131256,0.056497,598.308910,0.277533,-11.847993,-7911.233800,0.158764,-2.118744,-0.857536,0.241459,-0.385208,-3.909027,1.886378,0.445617,0.499144,-0.703105,-2.034400,-0.579516,2.909933,1.190679 
2.556109,3.670870,7.278746,0.826118,0.258070,-0.348856,3.227532,-0.666892,3.862189,-0.165957,2.276681,-2.210049,0.153652,0.082572,0.549523,-0.069748,-2.249689,-0.164120,8.192833,-1.144335 
-21053.557875,-441.678509,2215076401.198022,-9.226253,3.934304,0.031194,-0.363995,2.942910,1.646258,-0.475042,-4.198408,-0.215182,-1.428176,-0.150813,-2.699436,3.071354,1.327019,-0.789887,-0.855140,-1.754844 
264383860.825970,-0.208562,-0.135752,-1414.440190,11.229494,-1.055310,0.125619,0.168473,0.133920,1.462708,-0.357626,0.494246,1.453883,0.976297,0.180235,-0.931691,-3.448490,1.696349,0.569909,-2.488754 
-0.186640,-0.002082,-0.120367,564.462639,1.537688,0.035690,-1.270145,1.575868,2.427945,0.136128,0.287834,-0.062156,2.788317,0.372361,2.161118,1.981514,-0.085296,1.322635,-1.115338,1.199616 
381469.456197,-16.754654,-0.011071,0.084439,11.227416,628.381016,-1.621992,-2.229204,-12.729513,-0.674796,2.592146,-1.265218,0.921543,-0.339301,-0.471762,-1.790631,-0.088890,-1.679462,0.404016,0.728724 
-13.097352,0.002835,3.251921,-0.001458,0.110319,-1.770488,1.783552,-0.631546,-2.634743,-1.102625,1.977985,-1.460223,-0.613090,-0.284452,2.683937,-0.491758,-1.476152,-1.569544,-0.298935,2.443415 
201.822563,-1.322262,-7.923506,0.140278,-3.812312,1.057625,0.155013,1.121886,-0.762909,-9.324433,-0.596741,0.229704,-0.118820,1.839057,-1.563285,1.498124,0.566882,1.046562,1.055765,1.179223 
-0.002830,1967.463838,-5.410567,6.128285,-3.228099,-0.531687,-1.582931,6.197285,1.049799,-0.771269,-0.277020,-0.437675,-1.415802,0.910064,0.939605,-0.748282,-1.628020,-2.066460,0.307763,-0.615867 
-0.000071,-0.244602,-28.548277,-0.144598,-3994.109749,-1.345580,-0.040340,-5.602641,-0.479759,-0.493950,1.317633,-0.242941,0.868097,-2.223534,1.297449,-1.646204,-0.495323,1.084014,3.984253,1.812554 
317809.052490,232.624655,0.200062,33.001461,0.734363,37.031138,15.009255,-36.715111,-50.114721,-0.066879,-0.484559,-0.263170,-0.581891,0.599031,-0.760546,0.202112,-0.716444,-1.266341,0.408920,0.621950 
-0.282134,-41.385892,242.519075,-5777.765050,-2.103020,0.609635,1.292711,-1.642542,0.410357,-0.778984,0.511653,-1.951761,-1.542501,3.281586,-0.899766,0.361703,-0.590404,1.131746,-2.929254,-1.348727 
-0.000752,-1.706951,-0.057232,-0.777728,254.114052,9.173339,-1.557514,0.579308,2.388796,0.683162,-1.748020,-0.521711,0.884763,0.441196,0.888591,3.335120,0.561896,0.299912,0.082765,2.751004 
43721549.442647,0.011021,0.017879,0.581429,16.699843,-78.163561,0.486146,-0.652466,1.569177,4.227609,2.876963,-30.632867,1.813729,0.211278,8.211877,-0.084515,-3.074950,-2.486017,-0.628936,-0.587238 
49.773453,-28221096.072133,1.850713,6.338959,0.654997,0.566055,-1.858118,5.089105,0.088113,0.228498,2.033687,0.668541,-4.096077,-0.104436,-0.837992,0.574505,6.031767,-1.761699,-0.095276,2.556366 
-0.078626,1021423.456118,0.957234,0.004367,0.373732,-0.820212,209.154552,-1.921451,0.570131,2.865062,-182.926968,0.065400,2.872219,-0.672356,-1.060764,1.158741,-0.155174,0.323054,-0.445890,-0.952095 
0.074697,218084.352208,224.115431,-11.843340,-6.916171,-0.144001,-0.190277,-0.229867,0.011394,-1.984575,-0.229265,-1.736732,0.034840,0.627170,3.815134,1.944302,5.490181,0.479191,1.859358,1.119973 
671.003314,-44320.821444,-0.004325,-1.488636,12.715452,0.891826,0.968949,-0.671848,1.720604,-2.740202,-1.276119,-0.732525,1.080463,-0.578395,-2.246881,1.258906,1.262198,8.439963,1.646071,-1.083101 
0.412122,-36745.505640,96.338840,-0.109873,-1.339323,-0.013183,1.371172,0.102007,-5.084700,-0.646519,-0.595682,0.419406,0.406116,-0.432461,-6.155093,0.812952,0.082065,0.301219,-0.722917,-0.914499 
-281.338744,1181.107863,6.874633,0.514886,-0.156893,11.479272,2.368510,2.238585,-1.983955,-0.783241,-0.807317,0.660522,24.887517,-0.911836,-0.684686,-1.102627,-1.289138,0.039197,-0.936408,-0.696515 
75573653265219272704.000000,-843.051431,11.958995,-7.205439,0.143247,-0.236817,5.206757,-4.510719,-0.987379,-0.846635,-2.539078,-4.833811,-1.294882,-1.041202,1.504647,0.918933,0.306712,1.626336,1.448380,-0.159294 
-70741903860835758899200.000000,5753480.800308,-0.040584,0.408606,0.051944,-0.757956,0.052504,-0.358837,1.666179,2.575492,5.045375,0.539287,0.537369,0.207318,1.173816,-3.721473,-0.375985,0.624295,0.140522,-2.137479 
